Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Area: F1: Sample,emPAI,Score A Sequest HT,# Peptides A Sequest HT,# PSMs A Sequest HT
A0A0C5AS99,Granulin OS=Spodoptera frugiperda granulovirus PE=3 SV=1,70.96774194,28,402,28,1,248,29.2,6.32,57815625269,999999,989.73,28,402
A0A0C5AS12,Pep/p10 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,17.4025974,7,86,7,1,385,40.5,4.93,6245158627,99,296,7,86
A0A0C5AUX0,Vp39 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,74.69135802,22,72,22,1,324,36.5,6.58,3746467670,23.041,118.06,22,72
A0A068FPF5,49k OS=Spodoptera frugiperda granulovirus PE=4 SV=1,47.35682819,18,33,18,1,454,51.8,6.71,381919702.9,3.894,59.51,18,33
A0A0C5AS24,ORF038 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,27.18531469,24,34,24,1,1144,130,5.55,119274800.3,1.642,44.29,24,34
A0A0C5AS66,Gp41 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,63.60544218,15,52,15,1,294,33.8,7.96,746951890.5,28.286,87.01,15,52
A0A0C5AQ82,Odv-e25 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,47.94520548,9,46,9,1,219,24.2,6.02,2663634083,30.623,86,9,46
A0A0C5AUX3,ORF097 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,83.87096774,8,45,8,1,124,14.4,9.28,4642167578,30.623,100.65,8,45
A0A0C5AUY7,Enhancin-1 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,29.98846597,18,34,18,1,867,99.7,5.26,242328326.5,1.818,43.45,18,34
A0A0C5AUZ0,Enhancin-2 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,21.9369895,16,28,16,1,857,98.7,5.88,246579659.3,1.276,41.1,16,28
A0A0C5ASG5,Vp91/p95 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,33.70473538,16,31,16,1,718,81.2,4.98,147489131.2,2.065,46.02,16,31
A0A068FTD5,Pep1 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,45.91836735,9,42,9,1,196,22.6,7.44,3116669400,30.623,87.16,9,42
A0A0C5ASI7,ORF136 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,40.76738609,11,27,11,1,417,47.7,6.47,731001433.5,2.511,56.71,11,27
A0A068FTD1,Odv-e18 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,47.05882353,6,35,6,1,85,9,11.3,11450508537,176.828,75.59,6,35
A0A068FN30,Pif-5 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,27.19546742,8,19,8,1,353,38.9,5.38,411863259.5,3.87,37.09,8,19
A0A0C5ASC4,Odv-ec43 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,39.13043478,11,21,11,1,414,46.9,8.07,406897869.1,2.311,30.48,11,21
A0A0C5ASH9,Odv-e66 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,23.88724036,9,20,9,1,674,75.2,5.72,180202500.3,1.683,21.51,9,20
A0A068FN21,p10 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,86.30136986,4,21,4,1,73,7.8,4.64,257199091.3,24.119,31.86,4,21
A0A0C5AS42,p10 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,66.47398844,6,17,6,1,173,18.2,4.81,947461514.5,4.995,44.16,6,17
A0A0C5B372,ORF104 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,50.48543689,4,10,4,1,103,11.8,4.16,174284872.2,13.678,16.08,4,10
A0A068FPG0,Pep2 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,47.68211921,6,14,6,1,151,17,6.37,343999629.7,4.623,27.54,6,14
A0A0C5ASB5,ORF026 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,30.56994819,4,6,4,1,193,22.5,5.01,123190289.5,1.61,9.24,4,6
A0A0C5B305,ORF029 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,57.65765766,5,13,5,1,111,13.1,6.16,107919550.9,9,9.62,5,13
A0A0C5AUW2,p12 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,65.76576577,4,5,4,1,111,12.3,4.68,23144358.72,2.728,2.78,4,5
A0A0C5ASF4,p33 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,15.18151815,4,10,4,1,303,35.9,9.19,80915554.83,0.688,13.32,4,10
A0A0C5AQ67,Sod OS=Spodoptera frugiperda granulovirus PE=4 SV=1,38.02816901,3,6,3,1,142,15,6.23,118445598.6,3.642,11.49,3,6
A0A0C5AS49,Odv-ec42/p40 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,8.870967742,3,6,3,1,372,42.1,8.6,60053148.71,0.52,11.86,3,6
A0A0C5ASD8,Pif-0/p74 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,10.79545455,6,7,6,1,704,79.8,6.61,24014487.81,0.484,1.65,6,7
A0A0C5AS88,ORF138 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,41.79104478,3,5,3,1,67,7.8,7.4,138647602.2,2.981,5.37,3,5
A0A0C5AS58,Odv-ec27/odv-e27 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,13.79310345,4,5,4,1,290,34,5.86,90313801.9,0.668,2.95,4,5
A0A0C5AUU3,V-ubi OS=Spodoptera frugiperda granulovirus PE=4 SV=1,37.80487805,3,6,2,1,82,9.3,7.25,121971397.9,2.728,4.79,3,6
P68203,Ubiquitin-40S ribosomal protein S27a OS=Spodoptera frugiperda PE=2 SV=2,16.02564103,2,3,1,1,156,18,9.76,101060444.9,0.52,2.83,2,3
A0A0C5AS03,ORF1629 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,9.900990099,2,3,2,1,202,22.3,6.55,25407586.02,0.931,2.33,2,3
A0A0C5AS27,ORF043 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,16.83168317,1,2,1,1,101,11.4,9.25,29447782.53,0.931,2.92,1,2
A0A0C5AS69,ORF108 OS=Spodoptera frugiperda granulovirus PE=4 SV=1,8.275862069,1,2,1,1,145,17.3,6.1,38022117.75,0.233,2.23,1,2
A0A0C5B319,39k OS=Spodoptera frugiperda granulovirus PE=4 SV=1,11.6838488,2,2,2,1,291,33.2,8.91,22221908.93,0.359,0,2,2
