Ortogrupo,AcMNPV,AgMNPV,ChchNPV,HearNPV,MabrNPV,EpapGV,ClanGV,PiraGV,SfGV,CuniNPV
Polyhedrin,8,1,1,1,1,1,1,1,1,-
PEP,131,31,121,120,53,"21, 25","19, 36","20, 22","16, 17",-
P10,137,24,18,21,152,-,16,17,"5, 71",-
PEP/P10,-,-,-,-,-,22,35,21,18,-
ODV-E18,143,18,12,10,159,29,13,14,11,31
ODV-E25,94,71,86,82,87,86,76,76,88,15
ODV-E66,46,114,101,96,"69, 136",39,-,"39, 44",130,-
P33,92,73,84,80,88,88,78,78,89,14
PIF0,138,23,17,20,153,59,49,51,63,74
PIF1,119,43,131,111,43,69,61,61,72,29
PIF2,22,155,148,132,42,47,23,40,38,38
PIF3,115,46,110,98,59,38,33,30,27,46
PIF4,96,69,88,85,84,84,74,74,87,90
PIF5,148,13,7,15,6,27,15,16,11,102
PIF6,68,94,61,64,104,109,98,96,115,58
PIF8,83,80,81,76,93,96,86,85,105,35
AC75,75,88,57,69,108,103,94,92,112,-
Ac78,78,85,77,72,97,100,90,89,108,34
Ac81,81,82,79,74,95,98,88,87,106,106
Ac110,110,51,98,93,73,this study,20,44,42,70
GP41,80,83,78,73,96,99,89,88,107,33
F-protein,23,143,150,133,8,14,30,26,23,104
P78/83,9,2,2,2,2,5,2,2,3,-
VP39,89,76,82,78,91,92,81,81,96,24
p6.9,100,66,93,88,78,81,71,71,83,23
P40,101,65,94,89,77,80,70,70,82,22
P48/45,103,63,96,89,75,78,68,68,79,55
Ac142,142,19,11,9,160,28,14,15,12,30
ODV-EC43,109,53,99,94,72,53,44,46,44,69
P24,129,33,134,118,11,66,57,58,68,-
ODV-EC27,144,17,13,11,158,93,82,82,97,32
VLF-1,77,86,76,71,98,101,91,90,109,18
38K,98,68,91,86,80,83,73,73,84,87
VP1054,54,107,45,47,125,129,119,116,144,8
P18,93,72,85,81,86,87,77,77,90,13
ME53,139,21,8,16,7,133,123,120,150,-
PK1,10,3,3,3,3,6,3,3,2,-
VP80,105,62,97,92,74,-,-,-,-,-
FP25K,61,101,51,50,116,113,102,100,120,-
P12,102,64,95,90,76,79,69,69,81,-
Desmop,66,96,59,66,106,107,96,94,114,92
v-Ubi,35,138,26,28,145,52,43,45,43,-
SOD,31,131,115,106,57,58,48,50,52,-
LEF1,14,148,138,124,29,68,60,60,70,45
LEF3,67,95,60,65,105,108,97,95,116,-
LEF5,99,67,92,87,77,82,72,72,85,-
LEF6,28,124,21,24,149,74,65,65,76,-
LEF8,50,111,37,38,131,122,111,110,124,26
LEF9,62,100,52,52,114,112,101,99,119,59
DNA Pol,65,97,58,67,107,106,95,93,113,91
Hel-1,95,70,87,84,85,85,75,75,86,89
IE1,147,14,16,14,157,35,6,6,8,-
Alk-Exo,133,29,127,114,47,119-120,109,107,125,54
gp37,64,-,67,58,31,30,12,13,-,-
Hear44,-,-,42,44,128,126,116,114,141,-
Hear45,-,-,43,45,127,127,117,115,142,-
HCF-1,70,-,-,-,-,-,-,-,-,-
P43,39,-,-,-,-,-,-,-,-,-
PCNA,49,-,66,-,-,-,-,-,-,-
PNK/PNL,86,57,-,-,-,-,-,-,-,-
Ac30,30,126,-,-,-,-,-,-,-,-
Ac5,5,165,-,-,-,-,-,-,-,-
Ac74,74,89,-,-,-,-,-,-,-,-
Ac79,79,84,-,-,15,-,-,-,-,-
ChaB1,58/59,103,49,51,121,-,-,-,91,-
ODV-E26,16,150,-,-,-,-,-,-,-,-
CG30,88,77,-,77,92,-,-,-,-,-
Ac114,114,47,-,-,-,-,-,-,-,-
Ac132,132,30,-,-,-,-,-,-,-,-
PTP1/2,1,160,140,-,32,-,-,-,-,-
Ac18,18,152,125,-,49,-,-,-,-,-
EGT,15,149,141,126,33,132,122,119,-,-
38.7 kDa,13,147,137,123,30,67,59,59,69,-
PP31,36,140,28,31,143,-,-,-,-,-
IAP,several,123,39,several,131,several,100,several,118,-
CBP,145,16,14,12,157,33,8,8,10,-
Ac146,146,15,15,13,156,34,7,7,9,-
Ac34,34,137,25,27,146,-,-,-,-,-
BJDP,51,110,38,39,132,-,-,-,-,-
Ac48,48,113,-,-,-,123,113,111,-,-
Chch46,-,-,46,48,124,-,-,-,-,-
Ac56,56,105,47,49,123,-,-,-,-,-
ChaB2,60,102,50,52,120,90,-,-,-,-
Ac108,108,54,100,95,71,-,-,-,-,-
Chch105,-,-,105,-,-,-,-,-,-,-
PARG,-,-,108,100,61,-,-,-,-,-
Chch123,-,-,123,-,50,-,-,-,-,-
GP16,130,32,133,119,10,-,-,-,-,-
Chch135,-,-,135,-,-,-,-,-,-,-
HOAR,-,-,4,4,4,-,-,-,-,-
LEF12,41,118,-,36,-,-,-,-,-,-
Ac53,53,109,41,43,129,125,115,113,140,-
Ac76,76,87,56,70,109,102,92,91,111,-
Hear83,-,-,-,83,37,-,-,-,-,-
Ac63,63,-,31,121,-,-,-,-,-,-
Mabr52,151,-,-,-,"17, 52, 110",-,-,-,-,-
Mabr21,-,-,-,-,21,-,-,-,-,-
Mabr23,-,-,-,-,23,-,-,-,-,-
Helicase-2,-,-,-,-,25,119-120,-,108,126,-
v-Cath,127,-,64,56,27,31,11,11,-,-
Ac4,4,164,-,-,"38, 64",-,-,-,-,-
RR,-,-,"122, 151",-,"51, 162",-,-,-,-,-
Mabr56,-,-,-,-,56,-,-,-,-,-
Mabr58,-,-,111,-,58,-,-,-,-,-
NRK1,33,136,106,-,63,61,-,-,-,-
VEF,-,-,-,-,81,-,-,-,-,-
Mabr83,-,-,-,-,83,-,-,-,-,-
TLP-20,82,81,80,75,94,97,87,86,104,-
Mabr100,-,-,-,34,100,-,-,-,-,-
Mabr112,-,-,-,-,112,-,-,-,-,-
