ORF,Proteína,NCBI ID,Tamaño (aa),# Péptidos M1,# Péptidos M2,emPAI M1,emPAI M2,emPAI (%VP39)
1,Granulin,YP_006908509.1,248,25,25,"1,995,261","794,327","1,539,317.82"
5,P78/83,YP_006908513.1,137,1,2,0.33,0.78,0.62
6,PK1,YP_006908514.1,276,9,5,3.44,1.25,2.54
10,Epap10,YP_006908518.1,90,1,-,0.33,0.00,0.00
14,EFP,YP_006908522.1,541,1,-,0.08,0.00,0.00
21,PEP2,YP_006908529.1,142,5,3,4.62,1.37,3.08
22,PEP/P10,YP_006908530.1,308,7,8,9.00,5.81,8.84
25,PEP1,YP_006908533.1,178,6,6,5.31,2.98,4.86
27,PIF5,YP_006908535.1,354,7,4,5.58,2.51,4.58
28,Ac142,YP_006908536.1,457,18,14,4.84,2.98,4.65
29,ODV-E18,YP_006908537.1,88,4,6,55.23,176.83,120.84
31,v-Cath,YP_006908539.1,329,-,2,0.00,0.29,0.00
39,ODV-E66,YP_006908547.1,654,14,10,5.31,1.75,3.73
40,Epap40,YP_006908548.1,102,6,5,16.78,9.00,15.03
47,PIF2,YP_006908555.1,374,5,7,0.69,1.08,1.05
48,Epap48,YP_006908556.1,446,13,12,2.54,1.83,2.63
49,Epap49,YP_006908557.1,"1,465",35,27,2.87,1.32,2.38
52,v-Ubi,YP_006908560.1,93,3,1,1.37,0.78,1.26
53,ODV-EC43,YP_006908561.1,348,12,12,6.20,6.20,7.58
58,SOD,YP_006908566.1,183,9,6,24.12,5.31,13.84
59,PIF0,YP_006908567.1,653,5,1,0.47,0.08,0.24
62,Epap62,YP_006908570.1,106,1,1,0.39,0.39,0.48
66,P24,YP_006908574.1,165,2,2,0.87,0.52,0.82
69,PIF1,YP_006908577.1,538,3,2,0.52,0.23,0.43
71,Epap71,YP_006908579.1,104,1,-,0.47,0.00,0.00
74,LEF6,YP_006908582.1,82,-,1,0.00,0.47,0.00
78,P48/45,YP_006908586.1,380,1,-,0.11,0.00,0.00
79,P12,YP_006908587.1,115,3,1,4.62,0.78,2.32
80,P40,YP_006908588.1,373,9,5,1.68,0.73,1.36
81,P6.9,YP_006908589.1,56,1,1,2.16,2.16,2.64
83,38K,YP_006908591.1,295,5,3,1.45,0.47,1.01
84,PIF4,YP_006908592.1,162,2,3,0.67,1.15,1.07
85,Hel-1,YP_006908593.1,"1,085",1,-,0.00,0.00,0.00
86,ODV-E25,YP_006908594.1,213,7,8,9.00,9.00,11.00
87,P18,YP_006908595.1,158,-,1,0.00,0.00,0.00
88,P33,YP_006908596.1,254,7,7,1.98,1.08,1.79
90,ChaB,YP_006908598.1,75,2,1,2.98,1.51,2.60
92,VP39,YP_006908600.1,293,21,16,232.57,28.76,100.01
93,ODV-EC27,YP_006908601.1,284,8,6,3.39,2.16,3.31
94,BRO,YP_006908602.1,359,2,-,0.23,0.00,0.00
95,Epap95,YP_006908603.1,73,5,5,176.83,999.00,513.91
96,PIF8,YP_006908604.1,567,6,7,1.22,1.22,1.49
98,Ac81,YP_006908606.1,191,5,1,1.61,0.21,0.71
99,GP41,YP_006908607.1,286,23,16,87.59,19.69,50.78
100,Ac78,YP_006908608.1,88,2,2,16.78,4.62,10.77
101,VLF-1,YP_006908609.1,368,11,10,3.06,3.06,3.74
103,Ac75,YP_006908611.1,149,9,4,7.11,1.85,4.43
106,DNA Pol,YP_006908614.1,"1,068",1,-,0.00,0.00,0.00
109,PIF6,YP_006908617.1,148,5,2,2.59,0.67,1.61
113,FP25K,YP_006908621.1,146,1,3,0.23,0.87,0.55
115,DNA Lig,YP_006908623.1,534,1,-,0.08,0.00,0.00
123,Epap123,YP_006908630.1,102,-,1,0.00,0.47,0.00
126,Epap126,YP_006908633.1,347,11,8,3.49,1.72,3.00
127,Epap127,YP_006908634.1,69,1,2,1.15,3.64,2.51
129,VP1054,YP_006908636.1,344,1,1,0.11,0.11,0.13
133,ME53,YP_006908640.1,373,1,-,0.22,0,0.00
-,Ac110,This study,47,-,-,-,-,-
