Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,emPAI,emPAI%,Score A Sequest HT,# Peptides A Sequest HT
A0A068FN38,Granulin OS=Spodoptera frugiperda granulovirus OX=307454 PE=3 SV=1,58.87096774,26,705,6,1,248,29.2,6.54,99999,16.45218807,1394.9,26
A0A068FL56,Granulin OS=Spodoptera frugiperda granulovirus OX=307454 PE=3 SV=1,53.62903226,25,568,5,1,248,29.2,6.32,398106.171,65.49783094,1240.69,25
A0A346QVT7,Pep/p10 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,41.77545692,14,466,2,1,383,40.4,4.93,3980.072,0.6548154788,947.92,14
A0A0C5AS12,Pep/p10 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,41.55844156,13,428,1,1,385,40.5,4.93,629.957,0.1036427468,910.54,13
A0A3G1ST95,Granulin (Fragment) OS=Spodoptera frugiperda granulovirus OX=307454 PE=3 SV=1,47.25274725,17,323,2,1,182,21.6,5.64,99999,16.45218807,702.4,17
A0A0C5AUX0,Vp39 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,95.67901235,30,262,30,1,324,36.5,6.58,1244.197,0.2046996774,536.3,30
A0A346QVT6,Pep-2 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,68.42105263,12,122,12,1,152,17.1,6.07,748.894,0.1232106814,332.35,12
A0A068FPF5,49k OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,66.29955947,33,132,33,1,454,51.8,6.71,99,0.01628782907,283.1,33
A0A0C5AS66,Gp41 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,60.54421769,20,94,20,1,294,33.8,7.96,214.443,0.03528091847,263.52,20
A0A0C5AQ82,Odv-e25 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,69.8630137,12,131,12,1,219,24.2,6.02,176.828,0.02909236604,261.73,12
A0A068FTD5,Pep-1 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,61.73469388,11,109,11,1,196,22.6,7.44,78.433,0.01290407371,236.56,11
A0A346QVV9,ORF040 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,53.98075241,62,93,62,1,1143,129.9,5.57,14.849,0.002443009836,219.78,62
A0A0C5ASC4,Odv-ec43 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,58.93719807,23,107,23,1,414,46.9,8.07,38.811,0.006385322564,205.56,23
A0A0C5ASI7,ORF136 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,59.95203837,29,87,29,1,417,47.7,6.47,135.887,0.02235660837,196.3,29
A0A068FTD1,Odv-e18 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,44.70588235,5,93,5,1,85,9,11.3,315.228,0.05186242203,177.85,5
A0A346QW57,Enhancin-2 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,46.3243874,37,84,37,1,857,98.8,5.88,18.307,0.003011932189,174.99,37
A0A346QVT3,Pif-5/odv-e56 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,50.7082153,15,56,15,1,353,38.9,5.38,55.234,0.00908729243,173.53,15
A0A346QVZ1,p10 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,95.95375723,12,62,1,1,173,18.1,4.67,463.159,0.07620055174,161.7,12
A0A346QW51,Enhancin-1 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,38.63898501,27,65,27,1,867,99.7,5.2,7.913,0.001301874661,150.41,27
A0A0C5AS42,p10 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,93.6416185,12,58,1,1,173,18.2,4.81,214.443,0.03528091847,146.18,12
A0A0C5AUX3,ORF097 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,83.87096774,8,57,8,1,124,14.4,9.28,30.623,0.005038203934,143.3,8
A0A346QW25,Pif-8 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,42.06128134,24,42,24,1,718,81.2,4.98,9,0.001480711733,129.05,24
A0A346QW50,Odv-e66 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,29.6735905,15,50,15,1,674,75.2,5.88,14.505,0.002386413743,121.63,15
A0A346QW02,Odv-ec42/p40 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,50.2688172,22,38,22,1,372,42.1,8.6,22.101,0.003636134446,97.89,22
A0A068FN21,p10 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,86.30136986,8,40,8,1,73,7.8,4.64,999,0.1643590024,68.52,8
A0A0C5ASF4,p33 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,30.3630363,9,28,9,1,303,35.9,9.19,3.806,0.0006261765396,66.82,9
A0A346QW32,ORF112 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,71.72413793,11,26,11,1,145,17.2,5.86,17.738,0.002918318303,61.96,11
A0A0C5AS58,Odv-ec27 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,46.20689655,13,27,13,1,290,34,5.86,7.799,0.001283118979,60.37,13
A0A346QVY3,p74/pif-0 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,28.55227882,18,23,18,1,746,84.5,7.12,2.932,0.000482382978,56.83,18
A0A0C5AUS3,Pk-1 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,44.59930314,13,26,13,1,287,34.2,8.41,12.335,0.002029397692,53.16,13
A0A0C5AQ93,Vlf-1 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,48.91304348,15,22,15,1,368,42.7,8.62,4.484,0.0007377234902,52.84,15
A0A0C5ASB5,ORF026 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,33.67875648,7,17,7,1,193,22.5,5.01,9,0.001480711733,42.83,7
A0A0C5AUU2,Pif-2 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,37.10526316,11,20,11,1,380,44.1,5.47,4.623,0.0007605922603,42.32,11
A0A0C5ASH3,Fp OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,48.23529412,9,24,9,1,170,19.6,9.47,6.017,0.0009899380554,41.65,9
A0A0C5AQC1,Me53 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,30.87248322,8,15,8,1,298,34.4,8.27,1.818,0.0002991037701,37.14,8
A0A0C5AUU3,V-ubi OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,64.63414634,6,16,6,1,82,9.3,7.25,12.895,0.002121530867,29.65,6
A0A0C5B362,Bro OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,33.51351351,12,15,12,1,370,43.9,9.06,3.642,0.0005991946814,29.11,12
A0A068FPF2,ORF007 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,29.62962963,5,11,5,1,189,22,5.63,2.162,0.000355699863,29.09,5
A0A0C5B372,Ac78 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,50.48543689,3,13,3,1,103,11.8,4.16,20.544,0.003379971316,27.77,3
A0A0C5ASC1,p13 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,29.64285714,6,13,6,1,280,32.8,8.05,1.404,0.0002309910304,25.64,6
A0A0C5B3B2,Vp1054 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,24.69135802,9,12,9,1,324,38,7.94,2.34,0.0003849850506,24.51,9
A0A0C5AQ67,Sod OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,33.09859155,3,6,3,1,142,15,6.23,5.813,0.0009563752561,21.27,3
A0A0C5AQ79,p48/p45 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,22.04301075,8,15,8,1,372,43.9,6.96,1.61,0.0002648828767,21.09,8
A0A0C5ASH0,Pif-6 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,51.07913669,6,9,6,1,139,16.3,5.87,9,0.001480711733,19.8,6
A0A0C5B339,Pif-1 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,15.15711645,6,9,6,1,541,61.5,6.25,1.404,0.0002309910304,19.6,6
A0A0C5ASE5,Chit-2a OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,59.87654321,8,11,8,1,162,18.5,4.96,6.943,0.00114228684,19.29,8
A0A0C5AUT6,Pif-3 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,36.97916667,6,11,6,1,192,21.8,5.1,2.162,0.000355699863,16.28,6
A0A346QVY8,p24 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,56.25,5,10,5,1,176,19.3,5.01,3.642,0.0005991946814,15.97,5
A0A0C5AQ81,38k OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,20.06578947,5,6,5,1,304,36.2,6.4,1.154,0.0001898601489,15.5,5
A0A0C5AUX6,Ac81 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,41.88481675,8,14,8,1,191,22,8.29,9,0.001480711733,14.49,8
A0A346QW45,Alk-exo OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,23.95061728,9,12,9,1,405,47.3,6.89,1.424,0.0002342815009,13.96,9
A0A0C5B305,ORF029 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,37.83783784,4,6,4,1,111,13.1,6.16,2.162,0.000355699863,11.9,4
A0A346QVS8,ORF009 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,39.47368421,7,8,7,1,190,21.3,9.29,1.738,0.000285941888,11.38,7
A0A0C5AUV4,ORF062 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,47.31182796,4,10,4,1,93,10.7,4.46,4.179,0.0006875438148,10.69,4
A0A346QVS2,ORF1629 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,24.13793103,3,6,3,1,203,22.4,6.55,4.179,0.0006875438148,9.35,3
A0A0C5AS88,ORF138 OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,68.65671642,4,9,4,1,67,7.8,7.4,9,0.001480711733,7.78,4
A0A0C5B343,Dbp OS=Spodoptera frugiperda granulovirus OX=307454 PE=4 SV=1,17.79359431,3,5,3,1,281,31.3,7.83,0.638,0.0001049660095,7.22,3
