Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Area: F1: Sample,emPAI,Score A Sequest HT,# Peptides A Sequest HT
Q8B5N3,Granulin OS=Epinotia aporema granulovirus PE=3 SV=1,60.48387097,25,1266,25,1,248,29.3,6.35,258514555134,1995261.315,2981.79,25
K4EQF1,VP39 OS=Epinotia aporema granulovirus GN=vp39 PE=4 SV=1,75.42662116,21,262,21,1,293,33.8,6.25,23932212308,232.572,605.54,21
K4ERU1,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,29.82935154,35,83,35,1,1465,168.4,5.25,7453640846,2.875,161.78,35
K4ERV1,GP41 OS=Epinotia aporema granulovirus GN=gp41 PE=4 SV=1,74.82517483,23,87,23,1,286,32.8,8.53,8036098511,87.587,230.21,23
K4ER55,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,44.85776805,18,63,18,1,457,53.4,8.43,2886654656,4.843,149.92,18
K4ERT9,ODV-E66 OS=Epinotia aporema granulovirus GN=odv-e66 PE=4 SV=1,33.63914373,14,32,14,1,654,73.2,5.81,3338646789,5.31,88.15,14
K4ER60,ODV-EC43 OS=Epinotia aporema granulovirus GN=odv-ec43 PE=4 SV=1,47.4137931,12,55,12,1,348,39.9,7.68,3274401203,6.197,126.7,12
K4ER59,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,37.66816143,13,38,13,1,446,51.4,7.64,1775684071,2.535,88.74,13
K4EQU6,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,45.82132565,11,58,11,1,347,40.3,7.53,3243891202,3.489,107.72,11
K4ER61,Superoxide Dismutase OS=Epinotia aporema granulovirus GN=sod PE=4 SV=1,55.19125683,9,30,9,1,183,19.9,6.95,1501047134,24.119,76.06,9
K4EQ28,Occlusion derived virus envelope 25 OS=Epinotia aporema granulovirus GN=odv-e25 PE=4 SV=1,43.19248826,7,64,7,1,213,23.4,8.22,7751128994,9,96.69,7
K4EQD7,PEP/P10 OS=Epinotia aporema granulovirus GN=pep PE=4 SV=1,48.7012987,7,61,7,1,308,33.3,5.19,1676206122,9,84.29,7
K4EQ31,VLF-1 OS=Epinotia aporema granulovirus GN=vlf-1 PE=4 SV=1,35.86956522,11,23,11,1,368,42.2,9.5,293455644,3.062,47.85,11
K4EQD8,ODV-E56 OS=Epinotia aporema granulovirus GN=odv-e56 PE=4 SV=1,31.07344633,7,14,7,1,354,38.8,5.14,4270450492,5.579,41.27,7
K4EQU0,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,69.8630137,5,43,5,1,73,8.6,8.78,48803864679,176.828,76.82,5
K4EQS6,Polyhedron envelope protein OS=Epinotia aporema granulovirus GN=pep PE=4 SV=1,37.64044944,6,37,6,1,178,19.9,5.96,1070128256,5.31,92.95,6
K4EQ30,VP91 OS=Epinotia aporema granulovirus GN=vp91 PE=4 SV=1,14.63844797,6,15,6,1,567,63.3,5.19,699008334.5,1.219,31.65,6
K4EQS9,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,75.49019608,6,18,6,1,102,12.1,6.67,1134626300,16.783,47.82,6
K4EQ12,Protein kinase 1 OS=Epinotia aporema granulovirus GN=pk-1 PE=4 SV=1,30.43478261,9,17,9,1,276,32,7.17,1036305738,3.437,26.64,9
K4ER70,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,56.37583893,9,15,9,1,149,17.9,6.93,681856641.1,7.111,22.93,9
K4ER67,p33 OS=Epinotia aporema granulovirus GN=p33 PE=4 SV=1,36.61417323,7,21,7,1,254,30.2,7.77,3446043088,1.976,45.6,7
K4ER68,ODV-EC27 OS=Epinotia aporema granulovirus GN=odv-ec27 PE=4 SV=1,24.64788732,8,13,8,1,284,33.2,5.08,1076803019,3.394,27.66,8
K4EQT7,BV/ODV-C42 OS=Epinotia aporema granulovirus GN=bv PE=4 SV=1,25.20107239,9,15,9,1,373,42.7,9.11,1031408104,1.683,26.38,9
K4ERT7,ODV-E18 OS=Epinotia aporema granulovirus GN=odv-e18 PE=4 SV=1,29.54545455,4,23,4,1,88,9.3,11.3,62895129086,55.234,46.59,4
K4EQ15,Polyhedron envelope protein OS=Epinotia aporema granulovirus GN=pep PE=4 SV=1,45.07042254,5,17,5,1,142,15.6,5.02,1636354912,4.623,44.95,5
K4ER66,38 k OS=Epinotia aporema granulovirus PE=4 SV=1,26.44067797,5,8,5,1,295,35.6,7.17,200012738.8,1.448,10.12,5
K4EQU1,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,44.31818182,2,23,2,1,88,10.1,4.5,467284333.9,16.783,36.55,2
K4ERV3,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,41.21621622,5,8,5,1,148,17.3,9.41,219200289.1,2.594,18.08,5
K4EQE2,PIF-2 OS=Epinotia aporema granulovirus GN=pif-2 PE=4 SV=1,14.43850267,5,15,5,1,374,43.2,6.61,187626846,0.688,35.43,5
K4ERU3,p74 OS=Epinotia aporema granulovirus GN=p74 PE=4 SV=1,11.02603369,5,6,5,1,653,74,5.16,20758410.25,0.468,9.93,5
K4EQT9,ChaB OS=Epinotia aporema granulovirus GN=chaB PE=4 SV=1,45.33333333,2,4,2,1,75,8.7,5.08,1073311112,2.981,12.09,2
K4ER69,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,23.03664921,5,5,5,1,191,22.1,8.06,114916932.7,1.61,8.71,5
K4EQ24,p24 OS=Epinotia aporema granulovirus GN=p24 PE=4 SV=1,17.57575758,2,5,2,1,165,18.5,4.81,233266332.7,0.874,17.68,2
K4ERU7,p12 OS=Epinotia aporema granulovirus GN=p12 PE=4 SV=1,38.26086957,3,7,3,1,115,12.3,4.97,114178521.4,4.623,9.08,3
K4ERU5,Per os infection Factor 1 OS=Epinotia aporema granulovirus GN=pif-1 PE=4 SV=1,7.992565056,3,5,3,1,538,60.3,5.16,140719426.9,0.52,8.4,3
K4ERV0,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,5.849582173,2,2,2,1,359,42.7,8.44,75335858.75,0.233,5.4,2
K4EQE3,Viral Ubiquitin OS=Epinotia aporema granulovirus GN=v-ubi PE=4 SV=1,33.33333333,3,3,3,1,93,10.4,5.5,300496496.7,1.371,6.56,3
K4ERU8,Per os infectio factor 4 OS=Epinotia aporema granulovirus GN=pif-4 PE=4 SV=1,14.19753086,2,2,2,1,162,18.6,6.29,35138584.25,0.668,4.19,2
K4ER72,FP25K OS=Epinotia aporema granulovirus GN=fp25k PE=4 SV=1,9.589041096,1,1,1,1,146,17.1,9.58,69543413,0.233,3.48,1
K4EQE5,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,10.37735849,1,1,1,1,106,12,4.81,62150548.5,0.389,2.45,1
K4EQ36,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,15.94202899,1,3,1,1,69,8.1,4.72,10350734201,1.154,6.01,1
K4EQS2,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,5.839416058,1,1,1,1,137,15.5,4.79,211116698,0.334,2.22,1
K4EQ25,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,6.730769231,1,1,1,1,104,12.1,6.52,23121987,0.468,1.96,1
K4EQS3,Uncharacterized protein OS=Epinotia aporema granulovirus PE=4 SV=1,23.33333333,1,1,1,1,90,10.6,5.36,,0.334,0,1
K4ER65,p48/P45 OS=Epinotia aporema granulovirus GN=p45 PE=4 SV=1,4.210526316,1,1,1,1,380,44.7,7.34,57087543.75,0.105,1.61,1
K4EQ27,p6.9 OS=Epinotia aporema granulovirus GN=p6.9 PE=4 SV=1,12.5,1,1,1,1,56,7.3,12.41,8978181.25,2.162,0,1
K4EQF9,ME53 OS=Epinotia aporema granulovirus GN=me53 PE=4 SV=1,9.919571046,2,2,2,1,373,44.1,9.03,23762825.09,0.222,2.45,2
K4ERT4,F protein OS=Epinotia aporema granulovirus PE=4 SV=1,5.175600739,1,3,1,1,541,62,7.72,10384920.69,0.08,0,1
K4ER75,VP1054 OS=Epinotia aporema granulovirus GN=vp1054 PE=4 SV=1,8.430232558,1,1,1,1,344,40.1,7.81,241564668,0.105,0,1
K4EQU4,DNA ligase OS=Epinotia aporema granulovirus PE=4 SV=1,4.868913858,1,3,1,1,534,62.5,8.65,41687427,0.075,0,1
K4EQT8,Helicase-1 OS=Epinotia aporema granulovirus PE=4 SV=1,1.290322581,1,1,1,1,1085,127.5,6.77,,0,0,1
